"scenario","date","period","post_treatment","observed_accident_rate","untreated_accident_rate","true_policy_effect","concurrent_policy_effect"
"Ideal: stable untreated process",2021-09-01,45,FALSE,9.7119228179622,9.7119228179622,0,0
"Ideal: stable untreated process",2021-10-01,46,FALSE,10.0586890150094,10.0586890150094,0,0
"Ideal: stable untreated process",2021-11-01,47,FALSE,10.0689336903512,10.0689336903512,0,0
"Ideal: stable untreated process",2021-12-01,48,FALSE,10.4141790305859,10.4141790305859,0,0
"Ideal: stable untreated process",2022-01-01,49,FALSE,10.8253497881127,10.8253497881127,0,0
"Ideal: stable untreated process",2022-02-01,50,FALSE,10.6959013217621,10.6959013217621,0,0
"Ideal: stable untreated process",2022-03-01,51,TRUE,10.2518778104276,10.8518778104276,-0.6,0
"Ideal: stable untreated process",2022-04-01,52,TRUE,9.66017983405704,10.560179834057,-0.9,0
"Ideal: stable untreated process",2022-05-01,53,TRUE,8.95043345469804,10.150433454698,-1.2,0
"Ideal: stable untreated process",2022-06-01,54,TRUE,8.33639442623369,9.83639442623369,-1.5,0
"Ideal: stable untreated process",2022-07-01,55,TRUE,8.05300029761288,9.65300029761288,-1.6,0
"Ideal: stable untreated process",2022-08-01,56,TRUE,8.20653352493636,9.90653352493636,-1.7,0
"Ideal: stable untreated process",2022-09-01,57,TRUE,7.91930773228983,9.71930773228983,-1.8,0
"Ideal: stable untreated process",2022-10-01,58,TRUE,7.88986702096794,9.68986702096794,-1.8,0
"Ideal: stable untreated process",2022-11-01,59,TRUE,7.9824965199426,9.8824965199426,-1.9,0
"Ideal: stable untreated process",2022-12-01,60,TRUE,8.08468881813158,10.0846888181316,-2,0
