"year","country","youth_cycling_registrations","unit_type"
2017,"Lithuania",7.37299449851267,"Donor"
2018,"Lithuania",7.66001263549603,"Donor"
2019,"Lithuania",7.92144997441245,"Donor"
2020,"Lithuania",8.15199745391635,"Donor"
2021,"Lithuania",8.34990819473073,"Donor"
2022,"Lithuania",8.54137408080912,"Donor"
2023,"Lithuania",8.69341461194489,"Donor"
2024,"Lithuania",8.88134578410441,"Donor"
2008,"Slovakia",5.24625514874505,"Donor"
2009,"Slovakia",5.40685009897969,"Donor"
2010,"Slovakia",5.54232904410461,"Donor"
2011,"Slovakia",5.76191586086534,"Donor"
2012,"Slovakia",5.94426020526694,"Donor"
2013,"Slovakia",6.12471612285015,"Donor"
2014,"Slovakia",6.43021907005624,"Donor"
2015,"Slovakia",6.6759679043271,"Donor"
2016,"Slovakia",7.05214057229995,"Donor"
2017,"Slovakia",7.28501034642211,"Donor"
2018,"Slovakia",7.53660334499219,"Donor"
2019,"Slovakia",7.87638332359568,"Donor"
2020,"Slovakia",8.17061003815076,"Donor"
2021,"Slovakia",8.33475015387071,"Donor"
2022,"Slovakia",8.43152516842408,"Donor"
2023,"Slovakia",8.68011412355518,"Donor"
2024,"Slovakia",8.80423787716764,"Donor"
2008,"Slovenia",5.24596855632015,"Treated"
2009,"Slovenia",5.45688347404132,"Treated"
2010,"Slovenia",5.75621042771477,"Treated"
2011,"Slovenia",6.05784305754905,"Treated"
2012,"Slovenia",6.46055645932756,"Treated"
2013,"Slovenia",6.85389231531987,"Treated"
2014,"Slovenia",7.28275651484848,"Treated"
2015,"Slovenia",7.84118052528494,"Treated"
2016,"Slovenia",8.48374371202307,"Treated"
2017,"Slovenia",9.11896219060273,"Treated"
2018,"Slovenia",9.78798004646588,"Treated"
2019,"Slovenia",11.0375734975953,"Treated"
2020,"Slovenia",12.8974683844202,"Treated"
2021,"Slovenia",14.7291708833198,"Treated"
2022,"Slovenia",16.2897038539786,"Treated"
2023,"Slovenia",17.8233812049658,"Treated"
2024,"Slovenia",19.1933145479664,"Treated"
